num, count, positive polarity count, negative polarity count, summation, average, variance, standard deviation
0, 1, 1, 0, 0, 0.0, 0.0, 0.0
1, 3, 2, 1, 7, 2.3333333333333335, 1.5555555555555556, 1.247219128924647
3, 8, 5, 3, 49, 6.125, 21.859375, 4.675401052316261
6, 9, 6, 3, 55, 6.111111111111111, 19.432098765432094, 4.408185427750527
7, 17, 11, 6, 288, 16.941176470588236, 190.2906574394464, 13.794587976429248
9, 20, 13, 7, 339, 16.95, 171.4475, 13.093796240968468
18, 21, 14, 7, 357, 17.0, 163.33333333333334, 12.780193008453876
25, 24, 16, 8, 658, 27.416666666666668, 504.8263888888889, 22.468341925671528
27, 112, 70, 42, 101440, 905.7142857142857, 2203943.114795918, 1484.5683260786343
54, 113, 71, 42, 101494, 898.1769911504425, 2190802.0040723626, 1480.1358059557788
73, 116, 73, 43, 102719, 885.5086206896551, 2138685.818891201, 1462.424636995425
97, 119, 75, 44, 103254, 867.6806722689075, 2097231.9652566914, 1448.182296969788
129, 122, 77, 45, 103965, 852.172131147541, 2055498.7654528352, 1433.7010725576079
171, 125, 79, 46, 105976, 847.808, 2006691.8191359998, 1416.5775019870955
231, 128, 81, 47, 119613, 934.4765625, 1970019.9213256836, 1403.573981422313
313, 131, 83, 48, 118814, 906.9770992366413, 1871872.1445137225, 1368.1637857046658
327, 144, 91, 53, 175427, 1218.2430555555557, 2659040.0589795522, 1630.6563276728643
649, 145, 92, 53, 163901, 1130.3517241379311, 2157695.8556004753, 1468.9097506656
703, 171, 108, 63, 4439569, 25962.3918128655, 1295424661.9692898, 35992.00830697406
871, 179, 113, 66, 1634376, 9130.59217877095, 581201171.2359165, 24108.114219820607
1098, 94, 61, 33, 102139, 1086.5851063829787, 2466051.4129696693, 1570.3666492159305
1106, 138, 88, 50, 169204, 1226.1159420289855, 2755287.3053980255, 1659.905812206833
1145, 151, 96, 55, 180937, 1198.2582781456954, 2575245.1717029954, 1604.7570444472258
1161, 182, 115, 67, 1640763, 9015.181318681318, 572431731.6978928, 23925.545588301487
1598, 74, 49, 25, 105073, 1419.9054054054054, 5074513.031592403, 2252.667980771335
1607, 167, 106, 61, 259053, 1551.2155688622754, 4186517.0673025213, 2046.0980101897665
1665, 180, 114, 66, 4460754, 24781.966666666667, 1257205799.4099998, 35457.098011681665
2223, 183, 116, 67, 4687347, 25613.918032786885, 1217523843.8566694, 34893.03431713369
2463, 209, 132, 77, 4892997, 23411.468899521533, 1106738139.1102767, 33267.674086269944
2487, 72, 48, 24, 115874, 1609.361111111111, 8699693.091820989, 2949.5242144829035
2488, 90, 59, 31, 106235, 1180.388888888889, 2539286.904320988, 1593.514011335008
2491, 103, 67, 36, 406516, 3946.757281553398, 44434149.67895183, 6665.894514538302
2492, 134, 86, 48, 167132, 1247.2537313432836, 2838072.0400980175, 1684.6578406602384
2498, 178, 113, 65, 4454093, 25022.994382022473, 1266072047.601092, 35581.90618279313
2631, 191, 121, 70, 4574464, 23950.07329842932, 1196660245.554837, 34592.777361102955
2919, 217, 137, 80, 5266050, 24267.511520737327, 1123710976.922678, 33521.79853353155
3711, 238, 150, 88, 5767140, 24231.680672268907, 3070872875.0072746, 55415.45700440694
6171, 262, 165, 97, 12152173, 46382.33969465649, 11092761217.247204, 105322.17818316902
10971, 268, 169, 99, 12480217, 46567.97388059701, 10844084908.667229, 104134.93606214596
13255, 276, 174, 102, 13700586, 49639.80434782609, 6374679064.113895, 79841.58730958382
13567, 183, 117, 66, 4256408, 23259.060109289618, 6137616402.078355, 78342.94098435644
13651, 121, 79, 42, 11351468, 93813.78512396694, 23208299269.722427, 152342.70336882706
13654, 183, 117, 66, 781212, 4268.918032786885, 91407363.45229778, 9560.719818732154
13739, 196, 125, 71, 4224827, 21555.23979591837, 1096939587.3761714, 33120.078311745754
13743, 214, 136, 78, 2661174, 12435.392523364486, 695359794.2945236, 26369.67565774224
13838, 227, 144, 83, 5496019, 24211.53744493392, 1079079386.1781135, 32849.34377089006
13886, 258, 163, 95, 12090459, 46862.24418604651, 11248549564.277582, 106059.17953801822
14156, 59, 41, 18, 174190, 2952.3728813559323, 16177774.267739154, 4022.1603980621103
14158, 103, 68, 35, 788053, 7651.0, 146666841.32038835, 12110.608627166033
14160, 121, 79, 42, 134676, 1113.0247933884298, 3847341.3134348746, 1961.4640739597742
14171, 152, 98, 54, 1374322, 9041.592105263158, 375695490.952043, 19382.865911728404
14219, 196, 125, 71, 1604687, 8187.178571428572, 287427686.054847, 16953.69240179988
14473, 209, 133, 76, 5051690, 24170.765550239234, 1268258746.0742197, 35612.62060104844
14695, 271, 171, 100, 34848402, 128591.88929889299, 87349457632.60767, 295549.4165661771
15340, 134, 87, 47, 414981, 3096.873134328358, 25015776.39435286, 5001.57739061917
15350, 178, 114, 64, 607300, 3411.7977528089887, 47134832.45347808, 6865.481225193037
15359, 240, 152, 88, 23307766, 97115.69166666667, 67378268217.15493, 259573.24249073697
15623, 253, 160, 93, 12007139, 47459.04743083004, 11451006918.448343, 107009.37771264883
16457, 266, 168, 98, 12436332, 46753.12781954887, 10920120529.938549, 104499.38052418565
17647, 279, 176, 103, 151496597, 542998.5555555555, 1879470283720.462, 1370937.7388198422
23529, 282, 178, 104, 151626008, 537680.8794326241, 1862109996880.5457, 1364591.5128273903
26623, 308, 194, 114, 1236098726, 4013307.551948052, 152948663755784.47, 12367241.558075288
34239, 311, 196, 115, 240466165, 773203.1028938907, 3811700108181.3013, 1952357.5769262405
35655, 324, 204, 120, 945924892, 2919521.2716049384, 29678145018328.05, 5447765.13979155
52527, 340, 214, 126, 1242979318, 3655821.5235294118, 139785419602028.98, 11823088.41217171
77031, 351, 221, 130, 370210344, 1054730.3247863248, 6283152546697.268, 2506621.7398517206
106239, 354, 223, 131, 1199310607, 3387883.070621469, 80789397225615.33, 8988292.230764158
142587, 375, 236, 139, 7085295419, 18894121.117333334, 3175073351676944.5, 56347789.23504403
156159, 383, 241, 142, 1269088914, 3313548.0783289815, 30244476238273.902, 5499497.816916914
216367, 386, 243, 143, 356640647, 923939.5, 2460385485588.5557, 1568561.597639237
230631, 443, 278, 165, 1252651159, 2827654.986455982, 51387630050847.47, 7168516.586494549
410011, 449, 282, 167, 1269450443, 2827283.837416481, 50704228437445.805, 7120690.165808775
511935, 470, 295, 175, 1365443237, 2905198.376595745, 49053627682801.984, 7003829.50126586
626331, 509, 319, 190, 107544157594, 211285181.91355598, 4.4497017806077344e+17, 667060850.3433352
837799, 525, 329, 196, 49478991242, 94245697.60380952, 7.26726807101693e+16, 269578709.6752436
1117065, 528, 331, 197, 49485135101, 93721846.78219697, 7.230779631670306e+16, 268901090.21107197
1501353, 531, 333, 198, 1835526845834, 3456736056.1845574, 9.924415875728027e+19, 9962136254.70362
